sno,name,rating,price,num_reviews,Description,ASIN,Manufacturer,url
36,"ZEBRONICS Curve Wireless Mouse, High Precision with 800/1200/1600 DPI, 6 Buttons, USB Nano Receiver, Power Saving Mode, Comfortable and Versatile",5.0,497,9,,B0C71GL4MC,‎Zebronics India Private Limited,https://www.amazon.in/ZEBRONICS-Wireless-Precision-Comfortable-Versatile/dp/B0C71GL4MC/ref=sr_1_30?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273153&sprefix=mouse%2Caps%2C208&sr=8-30
37,"Portronics Toad II Bluetooth Mouse, with Bluetooth 5.0 & 2.4 Ghz Dual Wireless Connectivity, Rechargeable Battery, Adjustable DPI up to 1600, Connect Up To 3 Devices Simultaneously, Compatible with Laptop, MacBook, PC (Grey)",4.2,548,765,"While working we are often asked to be versatile or to switch up. Presenting Portronics Toad II wireless mouse an ode to the people who get things done with versatility. The mouse has a 2-way connection with 2.4 GHz and bluetooth version 5.1. These connections allow you to connect without wires and function for a range of 8-10 meters. Also, with dual connectivity, you can pair the wireless mouse with 3 devices 2 via bluetooth and 1 via nano USB dongle. The mouse has a flexible DPI switch that allows you to switch between 1200 to 1600 DPI. The 5-button design with a left-right click, scroll wheel, DPI button and another button to switch between connections and devices(2.4 GHz and bluetooth 5.1). This DPI rate is perfect for academic and professional endeavors. With the mouse wireless, you get an experience of decent casual gaming. Get work done on a PC or laptop, Mac or Windows with Toad II. The mouse for MacBook air comes with a highly sensitive optical tracker that allows supreme performance. Weigh just 82 grams and is designed to cushion your grip so that you can work for longer hours with pain-free palms and fingers. A type C charging port that provides a backup of 7 days. Switch up your scrolling game with features that click with Toad II.",B0BSGWLT5Y,‎Portronics,https://www.amazon.in/Portronics-Connectivity-Rechargeable-Adjustable-Simultaneously/dp/B0BSGWLT5Y/ref=sr_1_31?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273153&sprefix=mouse%2Caps%2C208&sr=8-31
38,"Portronics Toad 23 Wireless Optical Mouse with 2.4GHz, USB Nano Dongle, Optical Orientation, Click Wheel, Adjustable DPI(White)",4.1,290,"5,560",,B0BZHNYG4G,‎Portronics,https://www.amazon.in/Portronics-Wireless-Optical-Orientation-Adjustable/dp/B0BZHNYG4G/ref=sr_1_32?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273153&sprefix=mouse%2Caps%2C208&sr=8-32
39,"ZEBRONICS-Transformer-M with a High-Performance Gold-Plated USB Mouse: 6 Buttons, Multi-Color LED Lights,High-Resolution Sensor with max 3600 DPI, and DPI Switch(White)",4.3,347,"20,768",,B09RMWR92Z,‎Zebronics,https://www.amazon.in/Zebronics-Zeb-Transformer-M-Optical-Gaming-Effect/dp/B09RMWR92Z/ref=sr_1_33?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273153&sprefix=mouse%2Caps%2C208&sr=8-33
40,"Portronics Toad 101 Wired Optical Mouse with 1200 DPI, Plug & Play, Hi-Optical Tracking, 1.25M Cable Length, 30 Million Click Life(Black)",3.9,119,212,"Working for long hours often causes discomfort in your hands, now your palms can work comfortably while working. The Portronics Toad 101 wired optical mouse is made with a design to accommodate your hands. This causes your palm to rest comfortably so that you can work for long hours. Just plug and play and connect to your system super fast with USB 2.0. The wired mouse comes with 1.25 meter cable so that you can sit at a comfortable distance from your system. With a click lie over 3 million that mouse is dependable. With a no tangle cord you can keep the optical mouse easily in your bag.",B0BRKSQ7Z2,‎Portronics,https://www.amazon.in/Portronics-Optical-Hi-Optical-Tracking-Million/dp/B0BRKSQ7Z2/ref=sr_1_34?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273153&sprefix=mouse%2Caps%2C208&sr=8-34
41,"Quantum USB Wired Mouse, 1200 DPI Optical Sensor, Plug & Play Ergonomic Mouse for Comfortable All-Day Grip with 3-Button Design and clickable Scroll Wheel, USB 2.0 Mice for PC/Laptop, QHM251H (Black)",4.1,129,"2,063",,B0BHHDZSQ5,‎XOR Technologies LLP,https://www.amazon.in/Quantum-Ergonomic-Comfortable-clickable-QHM251H/dp/B0BHHDZSQ5/ref=sr_1_35?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273153&sprefix=mouse%2Caps%2C208&sr=8-35
42,"Zebronics HAZE Wireless mouse for Computers, Laptops with 1200 DPI, Advanced optical sensor, 2.4GHz USB Nano receiver, Plug - Play usage, Power saving mode and Comfortable use on most surfaces - Black",3.3,227,700,,B0BW4FBVK5,‎Zebronics India Private Limited,https://www.amazon.in/Zebronics-Wireless-Computers-Advanced-receiver/dp/B0BW4FBVK5/ref=sr_1_36?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273153&sprefix=mouse%2Caps%2C208&sr=8-36
43,"ZEBRONICS Zeb-Dash Plus 2.4GHz High Precision Wireless Mouse with up to 1600 DPI, Power Saving Mode, Nano Receiver and Plug & Play Usage - USB",3.5,197,"14,261",,B08YDFX7Y1,‎Zebronics India Private Limited,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTg3NTc2NTY2NzM0MDEyOjE2OTEyNzMxNTM6c3BfYnRmOjIwMTY2NjM1NDA0Njk4OjowOjo&url=%2FZEBRONICS-Zeb-Dash-Wireless-Receiver-Buttons%2Fdp%2FB08YDFX7Y1%2Fref%3Dsr_1_37_sspa%3Fcrid%3D39QCIRY4VLJHD%26keywords%3Dmouse%26qid%3D1691273153%26sprefix%3Dmouse%252Caps%252C208%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
44,"ZEBRONICS Haze Wireless Mouse for Computers, Laptops with 1200 DPI, Advanced Optical Sensor, 2.4GHz USB Nano Receiver, Plug - Play Usage, Power Saving Mode and Comfortable use on Most Surfaces - Grey",3.3,227,700,,B0BW4KN4FM,‎Zebronics India Private Limited,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTg3NTc2NTY2NzM0MDEyOjE2OTEyNzMxNTM6c3BfYnRmOjMwMDAxNjE5NjkzNTEzMjo6MDo6&url=%2FZEBRONICS-Wireless-Computers-Advanced-Receiver%2Fdp%2FB0BW4KN4FM%2Fref%3Dsr_1_38_sspa%3Fcrid%3D39QCIRY4VLJHD%26keywords%3Dmouse%26qid%3D1691273153%26sprefix%3Dmouse%252Caps%252C208%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
45,HP X1000 Wired USB,4.3,249,"58,260","HP X1000 Wired USB Mouse with 3 Handy Buttons, Fast-Moving Scroll Wheel and Optical Sensor works on most Surfaces, 3 years warranty",B009VCGPSY,‎HP,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODc5MzQ5MzgyMDcyNDE6MTY5MTI3MzIyNDpzcF9hdGZfbmV4dDoyMDA0NjMxNDQ1MDY5ODo6MDo6&url=%2FHP-X1000-Wired-Mouse-Black%2Fdp%2FB009VCGPSY%2Fref%3Dsr_1_33_sspa%3Fcrid%3D39QCIRY4VLJHD%26keywords%3Dmouse%26qid%3D1691273224%26sprefix%3Dmouse%252Caps%252C208%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
46,HP 150 Wireless,4.0,448,"5,772",,B09GB5B4BK,‎HP Inc.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODc5MzQ5MzgyMDcyNDE6MTY5MTI3MzIyNDpzcF9hdGZfbmV4dDoyMDA0NjMxNDQ1MDc5ODo6MDo6&url=%2FHP-150-Ambidextrous-Wireless-Mouse%2Fdp%2FB09GB5B4BK%2Fref%3Dsr_1_34_sspa%3Fcrid%3D39QCIRY4VLJHD%26keywords%3Dmouse%26qid%3D1691273224%26sprefix%3Dmouse%252Caps%252C208%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
47,ZEBRONICS Haze Wireless,3.3,227,700,,B0BW4KN4FM,‎Zebronics India Private Limited,https://www.amazon.in/ZEBRONICS-Wireless-Computers-Advanced-Receiver/dp/B0BW4KN4FM/ref=sr_1_35?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273224&sprefix=mouse%2Caps%2C208&sr=8-35
48,ZEBRONICS Zeb-Jaguar Wireless,4.1,397,"4,624",,B098JYT4SY,‎Zebronics India Private Limited,https://www.amazon.in/Zebronics-Zeb-Jaguar-Wireless-Precision-Ambidextrous/dp/B098JYT4SY/ref=sr_1_36?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273224&sprefix=mouse%2Caps%2C208&sr=8-36
49,Lenovo 600 Bluetooth 5.0 Silent,4.5,1398,"4,849",,B08LW31NQ6,‎Lenovo,https://www.amazon.in/Lenovo-600-Bluetooth%C2%AE-Silent-Mouse/dp/B08LW31NQ6/ref=sr_1_37?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273224&sprefix=mouse%2Caps%2C208&sr=8-37
50,Logitech M235 Wireless,4.4,697,"55,935",,B004IO5BMQ,‎Logitech,https://www.amazon.in/Logitech-M235-Wireless-Mouse-Grey/dp/B004IO5BMQ/ref=sr_1_38?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273224&sprefix=mouse%2Caps%2C208&sr=8-38
51,Logitech G102 USB Light Sync Gaming,4.4,1493,"9,233",,B08LT9BMPP,‎Logitech G,https://www.amazon.in/Logitech-G102-Customizable-Lighting-Programmable/dp/B08LT9BMPP/ref=sr_1_39?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273224&sprefix=mouse%2Caps%2C208&sr=8-39
52,Amazon Basics Wireless,4.2,349,"73,058","Enjoy greater flexibility and go cord-free with this Amazon Basics Wireless Mouse. This product redefines ""quiet as a mouse"" by offering the same click feel as a standard mouse without the click sound! Made with high-performance material and a rubber scroll wheel, its compact, ambidextrous design will help you to be more productive without noisy distractions for you or your colleagues.",B0C811KLKZ,‎XOR Technologies LLP. A-40,https://www.amazon.in/AmazonBasics-Wireless-Mouse-Connection-1600/dp/B0C811KLKZ/ref=sr_1_40?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273224&sprefix=mouse%2Caps%2C208&sr=8-40
53,RPM Euro Games 2.4 Ghz Rechargeable Wireless Gaming,4.1,458,198,,B0BNVKL742,‎RPM Euro Games,https://www.amazon.in/RPM-Euro-Games-Rechargeable-Adjustable/dp/B0BNVKL742/ref=sr_1_41?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273224&sprefix=mouse%2Caps%2C208&sr=8-41
54,HP M120 Mult-Device Wireless,3.0,429,24,Wireless mouse,B0827J11YM,‎HP,https://www.amazon.in/HP-Mult-Device-Wireless-Distance-Warranty/dp/B0827J11YM/ref=sr_1_42?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273224&sprefix=mouse%2Caps%2C208&sr=8-42
55,HP X200 Wireless,4.1,698,"9,769",,B083RCTXLL,‎HP,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODc5MzQ5MzgyMDcyNDE6MTY5MTI3MzIyNDpzcF9tdGY6MjAwNDYzMTQ0NTA4OTg6OjA6Og&url=%2FHP-Wireless-Mouse-X200-6VY95AA%2Fdp%2FB083RCTXLL%2Fref%3Dsr_1_43_sspa%3Fcrid%3D39QCIRY4VLJHD%26keywords%3Dmouse%26qid%3D1691273224%26sprefix%3Dmouse%252Caps%252C208%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
56,Zebronics Zeb-Power Wired USB,4.0,97,"6,449",,B07L9FW9GF,‎SINOMAX ELECTRONICS LIMITED,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODc5MzQ5MzgyMDcyNDE6MTY5MTI3MzIyNDpzcF9tdGY6MjAxNTY0NzAwNjMxOTg6OjA6Og&url=%2FZebronics-Zeb-Power-Wired-Mouse-Black%2Fdp%2FB07L9FW9GF%2Fref%3Dsr_1_44_sspa%3Fcrid%3D39QCIRY4VLJHD%26keywords%3Dmouse%26qid%3D1691273224%26sprefix%3Dmouse%252Caps%252C208%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
57,Logitech Signature M650 L Full Size Wireless,4.5,2393,772,,B09QXCWLNS,‎Logitech,https://www.amazon.in/Logitech-Signature-M650-Wireless-Mouse/dp/B09QXCWLNS/ref=sr_1_45?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273224&sprefix=mouse%2Caps%2C208&sr=8-45
58,Dell MS116 USB Optical,4.4,277,"13,617",,{},‎Dell India Pvt Ltd,https://www.amazon.in/Dell-Ms116-275-BBCB-Optical-Mouse/dp/B012DT5U96/ref=sr_1_46?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273224&sprefix=mouse%2Caps%2C208&sr=8-46
59,HP 150 Wired,4.2,313,540,,B097TCZMR5,‎HP Inc.,https://www.amazon.in/HP-150-Wired-Mouse-Tracking/dp/B097TCZMR5/ref=sr_1_47?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273224&sprefix=mouse%2Caps%2C208&sr=8-47
60,Portronics Toad One Wireless 2.4GHz & Bluetooth Connectivity Optical,4.3,598,821,Make your working experience hitherto unforeseen with the Toad One wireless optical mouse. Its multiple connectivity options - Bluetooth connectivity feature and USB nano dongle for 2.4 GHz connectivity - give you better and easier working. Now get better performance with the rechargeable battery of this wireless mouse that gives your seamless working of up to 9 days.,B0BG8LZNYL,‎Portronics,https://www.amazon.in/Portronics-Wireless-Bluetooth-Connectivity-Rechargeable/dp/B0BG8LZNYL/ref=sr_1_48?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273224&sprefix=mouse%2Caps%2C208&sr=8-48
61,Ant Value OM100 Wired Optical,3.2,109,16,"Ant Value OM100 Wired Optical Mouse, 1200 DPI 3 Button Corded Computer Mouse ,Gaming Mouse Office Home Optical Ergonomic Mouse Plug in Mouse Compatible with MacBook PC Laptop - Black",B0C7QF399Q,"Acro Engineering Company, Acro Engineering Company",https://www.amazon.in/Ant-Value-Computer-Ergonomic-Compatible/dp/B0C7QF399Q/ref=sr_1_49?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273224&sprefix=mouse%2Caps%2C208&sr=8-49
62,HP X200 Wireless,4.1,698,"9,769",,B083RCTXLL,‎HP,https://www.amazon.in/HP-Wireless-Mouse-X200-6VY95AA/dp/B083RCTXLL/ref=sr_1_50?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273224&sprefix=mouse%2Caps%2C208&sr=8-50
63,ZEBRONICS Zeb-Jaguar Wireless,4.1,397,"4,624",,B098K1439N,‎ZEBRONICS,https://www.amazon.in/Zebronics-Zeb-Jaguar-Light-Blue-Grey/dp/B098K1439N/ref=sr_1_51?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273224&sprefix=mouse%2Caps%2C208&sr=8-51
64,ASUS WT200 Wireless,4.1,447,"1,752","Ergonomic shape allows left and right hand use. The Mouse is designed to withstand 3 million clicks. The resolution of the mouse is 1200 dpi, which makes it extremely accurate in use. The mouse is equipped with 2.4GHz Communication Technology.",B0895XWJWK,‎ASUS,https://www.amazon.in/ASUS-WT200-Wireless-Mouse-Blue/dp/B0895XWJWK/ref=sr_1_52?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273224&sprefix=mouse%2Caps%2C208&sr=8-52
65,ZEBRONICS Haze Wireless,3.3,227,700,,B0BW4KN4FM,‎Zebronics India Private Limited,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODc5MzQ5MzgyMDcyNDE6MTY5MTI3MzIyNDpzcF9idGY6MzAwMDE2MTk2OTM1MTMyOjowOjo&url=%2FZEBRONICS-Wireless-Computers-Advanced-Receiver%2Fdp%2FB0BW4KN4FM%2Fref%3Dsr_1_53_sspa%3Fcrid%3D39QCIRY4VLJHD%26keywords%3Dmouse%26qid%3D1691273224%26sprefix%3Dmouse%252Caps%252C208%26sr%3D8-53-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
66,ZEBRONICS Zeb-Dash Plus 2.4GHz High Precision Wireless,3.5,197,"14,261",,B08YDFX7Y1,‎Zebronics India Private Limited,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODc5MzQ5MzgyMDcyNDE6MTY5MTI3MzIyNDpzcF9idGY6MjAxNjY2MzU0MDQ2OTg6OjA6Og&url=%2FZEBRONICS-Zeb-Dash-Wireless-Receiver-Buttons%2Fdp%2FB08YDFX7Y1%2Fref%3Dsr_1_54_sspa%3Fcrid%3D39QCIRY4VLJHD%26keywords%3Dmouse%26qid%3D1691273224%26sprefix%3Dmouse%252Caps%252C208%26sr%3D8-54-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
